name_s,lats_s,lngs_s,vicinity_s,id_s
"Sadguru Sai Packaging Industries",17.32308730000000,78.53485069999999,"Plot 170, 5-222/1, Krishna Nagar Colony, Meerpet 1moula Ali, Moula-ali, Moula-ali, Hyderabad",ChIJG4Lch82ZyzsRYYhE_lUldjI
"Whirlpool Washing Machine Service Center Hyderabad",17.31659270000000,78.55838969999999,"Chaitanya Nagar, B N Reddy Nagar, Hyderabad",ChIJHbJOkBiiyzsRsvJ8lJfsFtQ
"Sports World",17.38522850000000,78.48267550000000,"Bank Street, Koti, Hyderabad",ChIJhfL9T9KZyzsRSSTT90jEgRw
"Van Heusen",17.44144430000000,78.49020110000000,"No. 1, Krishna's, 2-235, Park Lane, Secunderabad",ChIJi14mkRqayzsRUrDS-3DS5bQ
"Sky Sports",17.36809800000000,78.53923800000000,"11-9-105,Beside RelianceTrends,Laxminagar colony,, Kothapet X Roads, Hyderabad",ChIJI3jsVumYyzsRFemIlGQCx90
"B S K Technologies",17.42964690000000,78.48766700000000,"Behind Hotel Moksh, 5-4-187/3&4/10, I Floor, Patel Trade World, Mahatma Gandhi Road, Karbala Maidan, Secunderabad",ChIJjf___z-byzsRfK8S_kOJ4nc
"Landmark Digitals",17.34855660000000,78.54933780000000,"3-4-152, Opp. Hanuman Temple, Main Road, LB Nagar, Hyderabad",ChIJjS5FmaSYyzsRMpL7K6Fs3OY
"Hotel Swagath Vegetarian",17.34597820000000,78.50828369999999,"Joseph Junior College, K.L.N. Reddy Complex, Opposite. St, Santosh Nagar Main Road, Bhavani Nagar Colony, Santosh Nagar, Hyderabad",ChIJkXxjbHCYyzsRBzlXjJc1jjI
"Hero Tejas Motors",17.31920870000000,78.56083420000002,"5-7-74, Nagarjuna Sagar Road, B N Reddy Nagar, Hyderabad",ChIJL14z6BuiyzsRGTxVWxXADcQ
"Reliance Communications",17.36336510000000,78.55752840000000,"2-4-704, Road No 5, Opposite Near Nagole Bus Stop, Nagole, Nagole, Hyderabad",ChIJL73vMMyYyzsRPNxnPvC__FE
"tw technologies",17.41513980000000,78.58504740000000,"Plot No. 15, 1st Floor, Vasavi Bhavan,, West Hanuman Nagar, Boduppal,, Hyderabad",ChIJly4Jkb6eyzsRwlqFf88_CXQ
"Jasper industries pvt ltd",17.44940000000000,78.68530000000000,"# 11-51/11, Ghatkesar, A b Nagar, Hyderabad, Hyderabad",ChIJMQoSinF2yzsRJbn8Ayo-uW4
Eliteauto.in,17.44992000000000,78.68259300000000,"Hyderabad, 1, 1st floor,Above Balaji Diagnostics, Beside Government Hospital, Ghatkesar-Edulabad Main road, Hyderabad",ChIJMQoSinF2yzsRmFj5fkwxzFE
"Ride Honda",17.45105000000000,78.68146200000000,"Beside SVS Gradens, Shiva Reddy Gudam, Ghatksar, Hyderabad",ChIJmZNGYm12yzsRT0ExEsGkuAA
